epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5616.33,1.44721,0.98299,1.25745,0.79652,0.66007,0.75198,0.46605,1.4601,0.90908,1.33551,0.0094555,0.0094555,0.0094555
57,5718.68,1.4487,0.98212,1.26501,0.80084,0.65793,0.75124,0.46596,1.45813,0.90875,1.336,0.0094456,0.0094456,0.0094456
58,5819,1.44456,0.97874,1.24669,0.80032,0.65572,0.75168,0.46629,1.45594,0.90847,1.33318,0.0094357,0.0094357,0.0094357
59,5918.1,1.43962,0.98046,1.25279,0.79885,0.65525,0.7506,0.46631,1.45598,0.90843,1.33602,0.0094258,0.0094258,0.0094258
60,6021.07,1.43691,0.97634,1.25393,0.79971,0.65895,0.75406,0.46747,1.4571,0.90396,1.33233,0.0094159,0.0094159,0.0094159
61,6122.86,1.44151,0.97814,1.2541,0.79863,0.65735,0.75264,0.46731,1.45464,0.90306,1.33446,0.009406,0.009406,0.009406
62,6224.17,1.44075,0.98171,1.24961,0.79595,0.65942,0.75297,0.46909,1.45146,0.90085,1.33279,0.0093961,0.0093961,0.0093961
63,6324.19,1.44148,0.97748,1.25128,0.79807,0.65881,0.75274,0.4692,1.45151,0.90244,1.33289,0.0093862,0.0093862,0.0093862
64,6424.94,1.43088,0.96778,1.24932,0.79463,0.66232,0.75392,0.46943,1.44936,0.90062,1.33024,0.0093763,0.0093763,0.0093763
65,6526.92,1.44017,0.97199,1.25069,0.80011,0.65932,0.75419,0.46905,1.45046,0.89813,1.33064,0.0093664,0.0093664,0.0093664
66,6628.38,1.4361,0.97217,1.25123,0.80001,0.66235,0.75543,0.46958,1.44966,0.8994,1.32924,0.0093565,0.0093565,0.0093565
67,6729.56,1.4342,0.97001,1.24767,0.80266,0.66266,0.7569,0.47073,1.44784,0.8964,1.32606,0.0093466,0.0093466,0.0093466
68,6828.98,1.4346,0.97194,1.24966,0.80506,0.66218,0.75686,0.4715,1.44645,0.89518,1.3263,0.0093367,0.0093367,0.0093367
